date,release,results_commit_sha,counter_commit_sha,notes
2026-06-02,1,dfe81fc4149ff1437e8ede328aaf265ee9b57367,dfe81fc4149ff1437e8ede328aaf265ee9b57367,Early mail-in ballots
2026-06-02,2,e395aa3899418b6c7897482621c3a9310d7d3689,e395aa3899418b6c7897482621c3a9310d7d3689,Early in-person ballots
2026-06-02,3,69993435aa947640b50d4f43c3afc1aa9c518b1b,69993435aa947640b50d4f43c3afc1aa9c518b1b,Election day counts
2026-06-03,1,aa65d6923d093eac9a669c1a82991605afc0c250,aa65d6923d093eac9a669c1a82991605afc0c250,
2026-06-04,1,730dc79172e2effbcf5db9aa04e48b75f880adf6,730dc79172e2effbcf5db9aa04e48b75f880adf6,
2026-06-05,1,377cc9a944cacf4ed8907a892d8f0f3f6960444a,377cc9a944cacf4ed8907a892d8f0f3f6960444a,
2026-06-06,1,db8fed6959c983dfab9f0ecfcf5dee4fd3e87c97,db8fed6959c983dfab9f0ecfcf5dee4fd3e87c97,
